budget,country_of_origin,genre,global_ranking,num_of_ratings,rating,release_date,title,us_gross,worldwide_gross
,France,Animation,448,77144,7.6,12.03.1976,Les douze travaux d'Astérix,,
150000000,USA,Family,450,327701,7.45,28.06.2007,Harry Potter and the Order of the Phoenix,292382727,942278045
70000000,USA,Melodrama,445,79495,7.6,09.12.2004,The Phantom of the Opera,51268815,154648887
,USA,Animation,447,42939,7.74,01.10.1982,Vincent,,
75000000,USA,Drama,444,75215,7.61,25.02.2002,We Were Soldiers,78122718,114660784
22000000,USA,Crime,443,74684,7.61,03.12.2019,The Gentlemen,36471795,115171795
220000000,USA,Action,446,326370,7.46,11.04.2012,The Avengers,623357910,1520538536
40000000,USA,Comedy,442,182477,7.5,listopada 1989,Back to the Future Part II,119000002,335973020
,USA,Crime,441,18222,8.19,17.12.1957,Witness for the Prosecution,,
20000000,USA,Biographical,439,150738,7.51,30.08.2013,12 Years a Slave,56671993,187733202
40000000,USA,Horror,440,146561,7.52,10.11.1992,Dracula,82522790,215862692
,Poland,Comedy,438,129826,7.53,19.10.1970,Rejs,,
,USA,Animation,437,44209,7.74,15.02.2018,Isle of Dogs,32015231,64337744
,France,Drama,436,46775,7.73,26.01.1994,Trzy kolory: Biały,1237219,1249815
,Sweden,Drama,435,50886,7.7,16.05.2003,Ondskan,,
,France,Drama,434,70887,7.63,08.04.1999,Todo sobre mi madre,8272296,67872296
,Poland,Moral drama,433,103751,7.56,14.12.1995,Tato,,
,Poland,Drama,432,38416,7.8,20.04.1957,Kanał,,
,Germany,Sci-Fi,431,24604,8.01,,Metropolis,,1236166
15000000,France,Drama,430,96678,7.58,16.05.2001,Mulholland Dr.,7220243,20117339
2000000,USA,Drama,429,32761,7.87,20.12.1962,To Kill a Mockingbird,,13129846
,Poland,Crime comedy,427,76800,7.62,06.05.1985,"Vabank II, czyli riposta",,
18500000,USA,Drama,426,168139,7.52,15.05.1998,Fear and Loathing in Las Vegas,,10680275
52000000,USA,Drama,425,96251,7.58,23.12.1998,The Thin Red Line,36400491,98126565
115000000,USA,Animation,424,213256,7.5,28.10.2001,"Monsters, Inc.",290642256,579707738
85000000,USA,Animation,423,123904,7.55,13.06.1997,Hercules,99112101,252712101
150000000,USA,Sensational,428,276031,7.48,14.11.2006,Casino Royale,167445960,616505162
90000000,USA,Sensational,422,112044,7.56,18.11.1998,Enemy of the State,111549836,250649836
,Poland,Drama,421,43069,7.77,03.10.1958,Popiół i diament,,
28000000,USA,Adventurous,420,161879,7.53,08.05.1984,Indiana Jones and the Temple of Doom,179870271,333107271
850000,USA,Action,419,92009,7.59,26.07.1973,Enter the Dragon,25000000,90000000
25000000,New Zealand,Biographical,418,44464,7.76,10.09.2005,The World's Fastest Indian,5128124,18297690
150000000,USA,Animation,417,40968,7.79,11.10.2020,Soul,870588,121901892
13000000,Sweden,Crime,415,83685,7.62,27.02.2009,Män som hatar kvinnor,10095170,104395170
,USA,Crime comedy,416,83938,7.61,24.02.2006,Lucky Number Slevin,22495466,56308881
,Poland,Comedy,414,143561,7.54,22.04.1973,"Poszukiwany, poszukiwana",,
4000000,USA,Animation,413,120300,7.56,16.06.1955,Lady and the Tramp,,93602326
75000000,USA,Animation,412,398787,7.48,25.05.2005,Madagascar,193595521,542063846
15000000,USA,Moral drama,411,41473,7.79,,The Color Purple,98467863,146467863
13000000,USA,Melodrama,410,143462,7.55,08.09.2012,The Perks of Being a Wallflower,17742948,33384127
110000000,USA,Historical drama,409,144008,7.55,27.06.2000,The Patriot,113330342,215294342
9000000,Italy,Drama,408,29551,7.94,28.10.1998,La leggenda del pianista sull'oceano,167435,21061339
50000000,United Kingdom,Musical,407,212095,7.52,03.12.2007,Sweeney Todd: The Demon Barber of Fleet Street,52898073,153383627
85000000,USA,Fantasy,404,101043,7.59,28.09.1998,What Dreams May Come,55382927,82782927
,USA,Drama,405,358320,7.49,12.03.2005,Hooligans,346830,3814717
,Sweden,Drama,403,31847,7.9,,Smultronstället,,
200000000,USA,Action,406,86026,7.62,13.12.2021,Spider-Man: No Way Home,814115070,1921847111
15000000,USA,Crime comedy,402,129244,7.56,06.03.1987,Lethal Weapon,65207127,120207127
175000000,USA,Animation,400,258144,7.51,13.05.2009,Up,293004164,735099102
7300000,France,Drama,392,40587,7.82,23.05.2007,Persepolis,4445756,22783978
,USSR,Sci-Fi,401,33203,7.89,maja 1979,Stalker,,
27000000,USA,Comedy,390,104482,7.6,20.06.1980,The Blues Brothers,57229890,115229890
7500000,Dishes,Drama,389,46281,7.77,,Breaking the Waves,3803298,3828405
200000,RFN,Western,388,46073,7.77,12.09.1964,Per un pugno di dollari,14500000,14516248
81200000,France,Animation,384,89205,7.63,22.05.2015,Le Petit Prince,1339152,97571250
34000000,USA,Drama,387,106905,7.6,26.08.1994,Natural Born Killers,50282766,50283563
,France,Court drama,386,29245,7.96,20.01.1995,Murder in the First,17381942,29481942
40000000,USA,Historical drama,385,100274,7.61,26.08.1992,The Last of the Mohicans,,75505856
150000000,USA,Thriller,391,175494,7.54,03.10.2017,Blade Runner 2049,92071675,267770708
150000000,USA,Animation,381,265719,7.52,17.11.2013,Frozen,400953009,1284540518
45000000,USA,Drama,383,114663,7.59,02.09.2001,Training Day,76631907,104876233
30000000,USA,Drama,380,82707,7.65,października 2007,August Rush,31664162,66122026
12000000,Australia,Drama,379,72700,7.67,10.09.2016,Lion,51738905,140853810
20000000,USA,Drama,377,171969,7.56,03.09.2015,Spotlight,45055776,98690254
250000000,USA,Family,382,316172,7.51,06.07.2009,Harry Potter and the Half-Blood Prince,302334374,934519387
28000000,USA,Sensational,375,224711,7.54,12.07.1988,Die Hard,83844093,141603197
125000000,USA,Family,378,434974,7.51,04.11.2001,Harry Potter and the Sorcerer's Stone,318886962,1023842938
40000000,United Kingdom,Animation,373,231189,7.54,07.09.2005,Corpse Bride,53401527,118133252
150000000,USA,Horror,374,481856,7.51,05.12.2007,I Am Legend,256393010,585410052
,USA,Drama,370,22300,8.14,10.08.1950,Sunset Boulevard,,
100000000,USA,Drama,369,265358,7.54,06.12.2006,Blood Diamond,57377916,171720398
75000000,Germany,Sensational,368,158287,7.58,16.07.2004,The Bourne Supremacy,176241941,290835269
110000000,USA,Comedy,372,174186,7.56,,Deadpool 2,324591735,785896609
65000000,USA,Historical drama,371,396804,7.52,14.02.2007,300,210629101,456082343
16500000,USA,Drama,367,75354,7.68,20.05.1991,Thelma & Louise,45360915,45464975
3300000,Argentina,Black comedy,365,128259,7.6,17.05.2014,Relatos salvajes,3106530,31061476
15000000,United Kingdom,Biographical,366,226121,7.55,07.09.2014,The Theory of Everything,35893537,123726688
2000000,Germany,Drama,364,47000,7.8,15.03.2006,Das Leben der Anderen,11286112,77356942
29000000,USA,Sci-Fi,362,217878,7.56,27.12.1995,Twelve Monkeys,57141459,168839459
